AAABAABAACAA,AAABAABAACAAA,S.E.E.ES..
AAABBAAABAAACBA,AAABBAAABAAACBAA,E......E..
AAABBBACBBCBAA,AAABBBACBBCBAAB,........E.
AAAACAAAABABBAC,AAAACAAAABABBACB,E.SE....E.
AAAACAAACABBAAA,AAAACAAACABBAAAC,..EEE.E..E
AAAACAAACBAACBA,AAAACAAACBAACBAC,..S.....EE
AAAAAABABAAAAB,AAAAAABABAAAABC,E.S..SE...
AAABBAAAAACBAAA,AAABBAAAAACBAAAB,.......EE.
AAAACAAABBBAB,AAAACAAABBBABA,....E....E
AAAAAABAABCBAA,AAAAAABAABCBAAA,ES.EE..E..
AAAACAAAACABAA,AAAACAAAACABAAA,.E..E.EEE.
AAABBBACBABBBC,AAABBBACBABBBCC,.SESS..E.E
AAABAAAAACAABAA,AAABAAAAACAABAAB,...SEEE...
AAABBBACCABABAA,AAABBBACCABABAAA,EE..S..EES
AAAAAAAAACCCAAA,AAAAAAAAACCCAAAA,....EES.E.
AAAACAAABBBBBAC,AAAACAAABBBBBACA,E.EEE...E.
AAAABAABCBBAABA,AAAABAABCBBAABAA,.E........
AAABBBBABAAAAB,AAABBBBABAAAABA,..EE......
AAAABAABBACABB,AAAABAABBACABBB,.E..E..EEE
AAABAABABAACBAA,AAABAABABAACBAAA,EE...E.E..
AAABBBACBACBCBB,AAABBBACBACBCBBB,.EE.E..S..
AAABBBABABBABCA,AAABBBABABBABCAC,E.EE....S.
AAABBBCABCABAAC,AAABBBCABCABAACC,.EE.E.S.EE
AAAAAAAABCACB,AAAAAAAABCACBA,..E.EE....
AAABBBCABBBCABB,AAABBBCABBBCABBA,.SE..ES...
AAAAAAAABCABA,AAAAAAAABCABAA,......E.EE
AAABBAAABBBBBCA,AAABBAAABBBBBCAB,..EE.E.E..
AAAACAABABAB,AAAACAABABABA,..ES...E..
AAAACAAAABABBA,AAAACAAAABABBAB,....S...SE
AAABAACBAACCA,AAABAACBAACCAA,...ES...EE
AAAAAAAAAAABCBB,AAAAAAAAAAABCBBA,....S.S..E
AAAABAABBACAACB,AAAABAABBACAACBA,S.EE..E.SS
AAAACABAAAAABBC,AAAACABAAAAABBCA,E.EE..S.E.
AAAAAAAAACAAAA,AAAAAAAAACAAAAA,E...SS...S
AAAACAACBA,AAAACAACBAB,......ES..
AAABAACABABBCAC,AAABAACABABBCACA,..ESEE.ES.
AAABBBAAABBB,AAABBBAAABBBA,SE.......E
AAABAAAAAAAAABA,AAABAAAAAAAAABAC,..S....E..
AAAABAABBACBABB,AAAABAABBACBABBA,.E..EE....
AAAABAABCBABA,AAAABAABCBABAA,.E...SEE..
AAABBBBAABBBAA,AAABBBBAABBBAAA,....E..S..
AAABBBABAAAAA,AAABBBABAAAAAB,....SES..S
AAABBAAABCBAA,AAABBAAABCBAAB,.EE...E...
AAAABAABCBCAABB,AAAABAABCBCAABBA,.EEE....SS
AAABBCABAABACAB,AAABBCABAABACABB,....E.E..E
AAABAACBAACBA,AAABAACBAACBAA,.......E.S
AAABBAAABBBABCA,AAABBAAABBBABCAA,.........E
AAABBBCABAAAAA,AAABBBCABAAAAAB,..E.......
AAAACAACBABBABA,AAAACAACBABBABAC,.SSE......
AAABAACAABAAAAB,AAABAACAABAAAABA,S...E...S.
AAAACAABACBBB,AAAACAABACBBBA,..SS.EE.E.
AAAAAAAABACA,AAAAAAAABACAA,.SE.E.E.E.
AAABBBACBACBBAB,AAABBBACBACBBABA,E.ES..SS..
AAABBBCABAABBAA,AAABBBCABAABBAAA,E.E..EE...
AAAAAAAABCABAAB,AAAAAAAABCABAABB,..SE..S...
AAABBBAAAAABABB,AAABBBAAAAABABBB,.....E....
AAABBCABAABBBA,AAABBCABAABBBAB,E....EE...
AAAACAABACABBA,AAAACAABACABBAA,EEE.......
AAABBBAAABBBA,AAABBBAAABBBAB,.EE.S.....
AAABBABABBA,AAABBABABBAA,E.......E.
AAABAACAABBCAAA,AAABAACAABBCAAAB,......EES.
AAAABAABAAABA,AAAABAABAAABAC,..SSE.....
AAAACAAACBAABA,AAAACAAACBAABAB,...S..E..S
AAAACAACAAABAAB,AAAACAACAAABAABC,.ES.......
AAABBAAABABBABB,AAABBAAABABBABBB,S.ESE.S...
AAABBBAAAAABCBA,AAABBBAAAAABCBAA,..S.......
AAABBBABAABBA,AAABBBABAABBAA,SE.....EEE
AAABBCAAABCAAA,AAABBCAAABCAAAA,..S.ES....
AAABAABAAAAACBA,AAABAABAAAAACBAB,.......S..
AAABAAAAAAAABCB,AAABAAAAAAAABCBC,..E..EE.E.
AAABBAAAAACBACB,AAABBAAAAACBACBB,.....ESS..
AAABBBCABBBBAAB,AAABBBCABBBBAABA,....SESE..
AAAAAABABBBABA,AAAAAABABBBABAA,......E.E.
AAAABAABCBAAAA,AAAABAABCBAAAAA,.S......S.
AAAAAAAAACCABAA,AAAAAAAAACCABAAB,S....E....
AAABBBACCABAB,AAABBBACCABABB,...ES....S
AAABBBACAAAABCA,AAABBBACAAAABCAA,..S.S.....
AAABAACABAB,AAABAACABABB,E.E.......
AAAACAAABABCBA,AAAACAAABABCBAB,ES..E....S
AAAABAABAAABAA,AAAABAABAAABAAA,..........
AAABBBABABBCACB,AAABBBABABBCACBA,.......S..
AAAABAABCBACBA,AAAABAABCBACBAB,.E....S...
AAABBBABABBB,AAABBBABABBBB,S.E...E.E.
AAABAACAABBCAB,AAABAACAABBCABB,E....S..EE
AAAAAAAAACBCBCB,AAAAAAAAACBCBCBC,SS...EEE.E
AAAACAAAACBAAA,AAAACAAAACBAAAB,...EEE.S..
AAAACAACAAABA,AAAACAACAAABAA,.SE..E..E.
AAABBAAAAABA,AAABBAAAAABAC,E.SSSSE...
AAABBABABB,AAABBABABBB,.E...EE.E.
AAABBBAAABBCAAC,AAABBBAAABBCAACB,.S....E...
AAAACAAABAAABCA,AAAACAAABAAABCAC,..E.ES....
AAABBBACAABAAB,AAABBBACAABAABA,..S.....S.
AAAAAAAABBAABAB,AAAAAAAABBAABABA,....EE....
AAAACAAAABBABC,AAAACAAAABBABCC,E.SE.ES..E
AAAAAAAAABABBA,AAAAAAAAABABBAA,..EES..S..
AAABBBABABBCBAA,AAABBBABABBCBAAA,E..S.E.EEE
AAAACAABABAAAB,AAAACAABABAAABA,.S.E....SS
AAABBAAAAABAACA,AAABBAAAAABAACAA,..ES.S....
AAAAAABABBABB,AAAAAABABBABBA,....E.S...
AAABBBABAABA,AAABBBABAABAA,E.E.S..S..
AAABAABAACABBAB,AAABAABAACABBABA,..E.......
AAAAAAAAAAABCB,AAAAAAAAAAABCBC,S.EEE.ESEE
AAAAAAAABBAABB,AAAAAAAABBAABBA,....E.E.E.
AAABAACBABBAAB,AAABAACBABBAABA,..EE..E...
AAAACAAAACBACBC,AAAACAAAACBACBCC,S..ES...E.
AAAACAAAABBBCAA,AAAACAAAABBBCAAA,..EE..E..E
AAAACAACBABCC,AAAACAACBABCCB,....E..ESS
AAAACAABAABBBCA,AAAACAABAABBBCAB,........S.
AAAACAACBBBBAC,AAAACAACBBBBACB,..EE.S.SEE
AAAACAAACABAACA,AAAACAAACABAACAA,...E.....E
AAAACAACBBBBCBA,AAAACAACBBBBCBAA,...EEE.E..
AAABAABAABBAC,AAABAABAABBACA,...E..S...
AAAAAABABBABC,AAAAAABABBABCA,.S.....E.E
AAAACAAABCAA,AAAACAAABCAAC,.........S
AAAABAABBBABBBA,AAAABAABBBABBBAB,.S..E.E.EE
AAABBAAABBABB,AAABBAAABBABBB,E.....SE.S
AAABAACBAACBAB,AAABAACBAACBABB,....S.....
AAABAACAABABCBC,AAABAACAABABCBCA,...S...E..
AAABBBCAAAAABCA,AAABBBCAAAAABCAB,....E.....
AAAAAAAACAABA,AAAAAAAACAABAC,.....S..E.
AAABBBCBAABAABA,AAABBBCBAABAABAB,...E....E.
AAABBBABABBCACA,AAABBBABABBCACAC,..E.....S.
AAABAACAAAABBBA,AAABAACAAAABBBAC,.S......E.
AAABBBCABCAAABA,AAABBBCABCAAABAB,.S.....ES.
AAABBBABAABCCAA,AAABBBABAABCCAAC,E.ES..E...
AAABAABABAA,AAABAABABAAA,..S...SS..
AAAAAAAAACBBABA,AAAAAAAAACBBABAB,.SE.....E.
AAABBBACBCABA,AAABBBACBCABAC,S.E...S..S
AAABBCABCBAABAA,AAABBCABCBAABAAA,EE.E.ES.E.
AAAAAAAAABAC,AAAAAAAAABACC,.EE.......
AAAABAABAACABBA,AAAABAABAACABBAA,...S.....E
AAABBCABAAABAC,AAABBCABAAABACB,E.ES...EE.
AAAAAABACAABABA,AAAAAABACAABABAA,........S.
AAABAACBABAABA,AAABAACBABAABAA,EE....S...
AAABBBACBABBAAA,AAABBBACBABBAAAB,....EE....
AAABBBCBABAABAA,AAABBBCBABAABAAA,E.S..E.E.S
AAAAAAAAABBABBB,AAAAAAAAABBABBBA,E.........
AAABAACAABBBAAA,AAABAACAABBBAAAB,....S...SE
AAABAABAACABA,AAABAABAACABAB,SSEEEE..SE
AAAAAAAAACBACC,AAAAAAAAACBACCA,SE........
AAABAACAAAAABAA,AAABAACAAAAABAAA,EE.ESE....
AAABBBCABBBCAA,AAABBBCABBBCAAB,...S......
AAABAABAA,AAABAABAAB,....E....S
AAAACA,AAAACAB,.SE.S.EE.E
AAABBBBAABBBABA,AAABBBBAABBBABAC,....E.....
AAABBAAAAABB,AAABBAAAAABBB,....EE.E.S
AAAACAAACBBACCB,AAAACAAACBBACCBA,.E........
AAABBBACBCABB,AAABBBACBCABBC,SS...EES..
AAABBBBAAACA,AAABBBBAAACAA,.SS..E....
AAABBBACBBAABA,AAABBBACBBAABAA,....EE..EE
AAABBBACCAAAAC,AAABBBACCAAAACC,.E..E.....
AAAAAAAAAAAAABA,AAAAAAAAAAAAABAA,...E.....E
AAAACAAABBABBBA,AAAACAAABBABBBAB,.......S.E
AAAACAAACAAABAB,AAAACAAACAAABABA,..S..EE.ES
AAABAACABABAAAB,AAABAACABABAAABA,..E.SE.EEE
AAABBBBAAAABCA,AAABBBBAAAABCAB,E.....E..S
AAABBBBACBAAA,AAABBBBACBAAAB,.S..ES.E.S
AAABBBACBCCCAA,AAABBBACBCCCAAB,..E.S.E.S.
AAABAABAAAAACBC,AAABAABAAAAACBCB,..S.E.E..E
AAABBABABBCAAB,AAABBABABBCAABB,.E.S.E....
AAAACAACBBBBACA,AAAACAACBBBBACAA,EE....EEE.
AAAABAAAAAAAAA,AAAABAAAAAAAAAC,..S...SE..
AAABBAAAAABAB,AAABBAAAAABABA,.E........
AAAACABAAABBAC,AAAACABAAABBACA,......SE..
AAABBBABAAAC,AAABBBABAAACA,...E.E....
AAAACAACBACBAAA,AAAACAACBACBAAAA,.S.S...E..
AAAABAABBAAABCC,AAAABAABBAAABCCA,.....E....
AAABBBACCAABBAB,AAABBBACCAABBABA,.S...SE.SS
AAABAACBAACAABC,AAABAACBAACAABCA,.E...S..ES
AAAACAAABBABABA,AAAACAAABBABABAA,..ES.E...S
AAABBBAAABACACC,AAABBBAAABACACCC,....SSE...
AAABBAAABBBBBBC,AAABBAAABBBBBBCA,EEE.E.EE.S
AAABBBACCABABAC,AAABBBACCABABACB,E....EESS.
AAABBCABAABAAAA,AAABBCABAABAAAAC,E.S.E.....
AAABBBACABAABA,AAABBBACABAABAA,....S...E.
AAABBBACBCCAABA,AAABBBACBCCAABAA,S...E...E.
AAAABAABBAAABAA,AAAABAABBAAABAAB,..........
AAABAABAAABCAAA,AAABAABAAABCAAAA,..EE.....E
AAABAACABAABBAB,AAABAACABAABBABB,...ES...S.
AAAAAAAAACBCBCA,AAAAAAAAACBCBCAA,ES....S..S
AAABAACAABABCBB,AAABAACAABABCBBA,E......S..
AAAABAABCBBAA,AAAABAABCBBAAB,.SSE.E.S..
AAABBBCABAAAAAB,AAABBBCABAAAAABA,.SEE......
AAABAABBBAAAAAA,AAABAABBBAAAAAAB,SE...E..E.
AAABBBBABACBABC,AAABBBBABACBABCB,S.ES..E...
AAAAAAAAAAABAAB,AAAAAAAAAAABAABA,E...SS.EE.
AAAABAABBACABCA,AAAABAABBACABCAA,E..E.E....
AAABBBACCABBAC,AAABBBACCABBACB,S.S..EE..E
AAABBABABBBBBAA,AAABBABABBBBBAAA,ESSS.EEE..
AAABBBCABBBCAB,AAABBBCABBBCABA,..........
AAABAABBBABBAC,AAABAABBBABBACC,.SS.EE...S
AAAACAAABCABBAA,AAAACAAABCABBAAA,....EEE...
AAAACAAAABBB,AAAACAAAABBBB,S.....S...
AAAACAAACBAACAA,AAAACAAACBAACAAC,..EEE...S.
AAAABAABCBACBBB,AAAABAABCBACBBBB,S.E.E...E.
AAAABAABBBACA,AAAABAABBBACAA,..SE.E....
AAABBAAABABBAAB,AAABBAAABABBAABA,..........
AAABBBAAAAABAA,AAABBBAAAAABAAA,..........
AAAAAAAAACBAABB,AAAAAAAAACBAABBB,E..E.ES...
AAABBBACBACBCAB,AAABBBACBACBCABB,...E.ES..E
AAAACAABACBBA,AAAACAABACBBAA,......SEE.
AAABAABAAABCB,AAABAABAAABCBA,...S.....S
AAABBBAAABBCC,AAABBBAAABBCCA,.S..E.EEE.
AAABAACABAABBBA,AAABAACABAABBBAA,.E.S.E.S..
AAAABAABAAAACBC,AAAABAABAAAACBCB,.EE...SEEE
AAABBBACBCABBAB,AAABBBACBCABBABA,SE...S.S..
AAAACAAABBA,AAAACAAABBAA,.E.EE..EEE
AAAABAABCCABAA,AAAABAABCCABAAC,SEE....E..
AAAACAABAABBB,AAAACAABAABBBC,E.....S.S.
AAABBABABAAB,AAABBABABAABA,EE.....EE.
AAABAACABAAB,AAABAACABAABB,..S....EE.
AAABBBCBABBAABB,AAABBBCBABBAABBB,..E....E..
AAABBAAABBBBA,AAABBAAABBBBAB,SE....E..E
AAABBBCBAACBBA,AAABBBCBAACBBAC,EE...EE.S.
AAABBBACCABACAA,AAABBBACCABACAAC,...EEEE..E
AAAAAABABBAB,AAAAAABABBABB,.S.SE.E...
AAAACAACBACABCC,AAAACAACBACABCCA,.E..S...E.
AAABBBBACBB,AAABBBBACBBB,......ES..
AAAAAABABBB,AAAAAABABBBB,S.S....E..
AAABBBBABAAAA,AAABBBBABAAAAC,.EE.SEE..E
AAABAABBBAACACB,AAABAABBBAACACBC,E....EE..E
AAABAABBBB,AAABAABBBBA,E.E.S.ES..
AAAABAABCBAB,AAAABAABCBABC,..EEEE.EE.
AAABBABABBBCA,AAABBABABBBCAA,SE..EE..S.
AAAAAAAAAAABBBA,AAAAAAAAAAABBBAA,..........
AAAACAAACABBBAA,AAAACAAACABBBAAC,.SEE..E...
AAABBABAAAAA,AAABBABAAAAAB,.S.EEEE...
AAABBBCAAAA,AAABBBCAAAAC,.....E..E.
AAAACAABAAACCAA,AAAACAABAAACCAAC,....E.....
AAAACAAAACABCB,AAAACAAAACABCBA,.S.E..E...
AAAABAABCCABAAC,AAAABAABCCABAACB,.EES.....E
AAABAACAAAAC,AAABAACAAAACA,....E.....
AAAACAAABCACA,AAAACAAABCACAA,.......E..
AAABBCABCABBBC,AAABBCABCABBBCB,..E.......
AAABAACBABABCAC,AAABAACBABABCACA,EE..E.....
AAABBBCAAAABB,AAABBBCAAAABBA,.E.SE....E
AAAAAABABAAACCA,AAAAAABABAAACCAA,........ES
AAABAACBABCBAA,AAABAACBABCBAAC,..E.....E.
AAABBBCBAABAABA,AAABBBCBAABAABAC,.EEES.E...
AAABAACBACAABCA,AAABAACBACAABCAC,.E...S....
AAAACAAABAABAC,AAAACAAABAABACB,EESE.....E
AAAAAAAABBBBAAB,AAAAAAAABBBBAABA,.E......E.
AAAABAABCBCACAB,AAAABAABCBCACABA,...E..S...
AAABBBCABCAAACB,AAABBBCABCAAACBA,....E.S.E.
AAABBBCBABAC,AAABBBCBABACB,E...EE.EE.
AAABBBACABAABBB,AAABBBACABAABBBA,E...ES...E
AAABAACBABABABC,AAABAACBABABABCC,..S.S...EE
AAAAAAAAACBABA,AAAAAAAAACBABAC,...S..EE..
AAAAAABAAB,AAAAAABAABA,.....E.E..
AAAAAAAAACBCCCC,AAAAAAAAACBCCCCA,E.E.......
AAABBBACABAAAAA,AAABBBACABAAAAAB,.E......S.
AAABBABABAAABAA,AAABBABABAAABAAA,..E......E
AAABBAAAAAAAACB,AAABBAAAAAAAACBA,.........S
AAABBCBAAAAACA,AAABBCBAAAAACAC,E...EE....
AAABBCAAAAAAC,AAABBCAAAAAACC,.ESE...S..
AAABBBCAAAABBBA,AAABBBCAAAABBBAA,E.EE..SE..
AAABBCAAABABAAC,AAABBCAAABABAACA,.E....E.S.
AAABAABBBBBABAA,AAABAABBBBBABAAA,EE.SE.....
AAABBBBAC,AAABBBBACB,.E..E....E
AAABAABABAAAA,AAABAABABAAAAB,..S.EE..EE
AAAABAABBBACB,AAAABAABBBACBA,.S..S...EE
AAABBAAAAABAACA,AAABBAAAAABAACAB,S......S..
AAAACAAACB,AAAACAAACBB,ES.E.E.S.E
AAAACAAABBBCBA,AAAACAAABBBCBAB,..S....E..
AAABBBACAAAAAA,AAABBBACAAAAAAA,E..EE...ES
AAAAAABAABBABCA,AAAAAABAABBABCAA,.S.E....E.
AAABBBCBAABBB,AAABBBCBAABBBB,....E.....
AAABBCBABAAABBC,AAABBCBABAAABBCA,...ESS....
AAAACAAABBBCBAB,AAAACAAABBBCBABA,ESE...E.E.
AAAACABAAABBAAA,AAAACABAAABBAAAB,E.S..SES..
AAABAACBABBCAAA,AAABAACBABBCAAAA,.EEESE.EE.
AAAAAABACAABAAB,AAAAAABACAABAABA,.E...E....
AAABBBBBAABAAB,AAABBBBBAABAABA,..E.....EE
AAABAAAAABAABAA,AAABAAAAABAABAAB,....S....E
AAABBBACCAABBC,AAABBBACCAABBCB,SS...E.S.S
AAAACAAACABAB,AAAACAAACABABA,.E...E.S.S
AAABBBCABBAAAAA,AAABBBCABBAAAAAA,.....S..E.
AAABBBACBCBA,AAABBBACBCBAA,.ES..SEESS
AAAABAABCABBBBA,AAAABAABCABBBBAA,.EE....SS.
AAAABAABBACAAC,AAAABAABBACAACA,..EE..E..S
AAAACAAACAABA,AAAACAAACAABAB,.SE..S...E
AAABBCAAAAA,AAABBCAAAAAA,.S...SS...
AAABBBCBAAC,AAABBBCBAACB,..SEEES..E
AAABAABABAABBBC,AAABAABABAABBBCA,E.S.E....E
AAABBBCAB,AAABBBCABA,.....SE.E.
AAAACAABABABACB,AAAACAABABABACBB,...SEE.EE.
AAABBBACABBAABA,AAABBBACABBAABAB,S......E..
AAAAAAAABBABBBB,AAAAAAAABBABBBBA,.....ES...
AAABBBABABBACA,AAABBBABABBACAB,..E.E..E..
AAAACAABAAAAAA,AAAACAABAAAAAAA,.EEE.....E
AAAABAABBBACABA,AAAABAABBBACABAC,E.E......E
AAAAAABAABCBBBA,AAAAAABAABCBBBAC,....E..E.S
AAABBCABAABCABA,AAABBCABAABCABAB,.S.ES...S.
AAABBBCBAACB,AAABBBCBAACBA,E.E..E....
AAABBBBAABBC,AAABBBBAABBCA,....E.E...
AAAABAABCCABAAA,AAAABAABCCABAAAA,..E..EE.E.
AAAACABAAABBAAA,AAAACABAAABBAAAA,.E...SEE.E
AAAAAABABBABBB,AAAAAABABBABBBA,..EEE.....
AAABBAAABBABBA,AAABBAAABBABBAA,..E..E....
AAABAABABACABAA,AAABAABABACABAAB,EES..S.SS.
AAAACAABABBAA,AAAACAABABBAAA,...E..EE.E
AAAABAABAAAA,AAAABAABAAAAB,..SE.E....
AAAABAAABAAAABC,AAAABAAABAAAABCA,S..E..E..S
AAAAAAAAACCCBAB,AAAAAAAAACCCBABA,.........E
AAABBCABCBAAA,AAABBCABCBAAAB,.S..ESE...
AAABBCAAABAAAAA,AAABBCAAABAAAAAA,...E.....E
AAABBABABBAAAAA,AAABBABABBAAAAAA,...E.E..E.
AAABBBBAAAABAA,AAABBBBAAAABAAA,..EE.E...E
AAABBABAABAAAAB,AAABBABAABAAAABB,S.ESS.E...
AAAAAABACAAABC,AAAAAABACAAABCA,....E.....
AAAAAAAAACCA,AAAAAAAAACCAB,........E.
AAAAAAAAABABAA,AAAAAAAAABABAAA,..SSE...ES
AAAABAABAAABAAA,AAAABAABAAABAAAC,...E...E.S
AAABBBACBBCBCBA,AAABBBACBBCBCBAA,S.....SEEE
AAAABAABBBACCA,AAAABAABBBACCAA,E..E.....E
AAAAAAAAAAABCBA,AAAAAAAAAAABCBAA,.....EE...
AAAACAAAAABACAB,AAAACAAAAABACABA,SE...SS...
AAAABAABCABAAAA,AAAABAABCABAAAAB,..SS......
AAAACAACBABCBA,AAAACAACBABCBAC,...S..E..S
AAAACAAABBABBBA,AAAACAAABBABBBAC,..........
AAAAAABAABBABA,AAAAAABAABBABAB,.....E..E.
AAAAAAAAACBAC,AAAAAAAAACBACB,E.....EE.E
AAAACAAACABCBAB,AAAACAAACABCBABA,EES....EE.
AAABBBACABCABC,AAABBBACABCABCA,.ES.....SE
AAABAACBABABABC,AAABAACBABABABCB,......E...
AAAAAAAAAAAAAAB,AAAAAAAAAAAAAABA,.SSSES.E..
AAAACAAAABBABCA,AAAACAAAABBABCAB,.....EEEEE
AAAAAABABBABCA,AAAAAABABBABCAC,.........S
AAAABAABCBCACAA,AAAABAABCBCACAAA,SSSS...E..
AAABBBAAACA,AAABBBAAACAA,.E.....ES.
AAABAABBBABBACA,AAABAABBBABBACAB,..........
AAABAABBBABAB,AAABAABBBABABA,EE..S.....
AAABBCABCBACC,AAABBCABCBACCA,.ES.S..E..
AAABBBABABBA,AAABBBABABBAA,...E..SES.
AAABBBAAABAAAA,AAABBBAAABAAAAB,..E....S..
AAABAAAAAAAAACA,AAABAAAAAAAAACAB,.S....S...
AAABBAAABCAAAB,AAABBAAABCAAABB,.....S.E..
AAAACAABAAACABC,AAAACAABAAACABCB,..E..S..SS
AAABBBCBAB,AAABBBCBABB,.EE...ES.E
AAAABAABBACABBB,AAAABAABBACABBBB,E.EE.EES..
AAAABAABAAABACA,AAAABAABAAABACAA,E..E......
AAABBAAAAABABCB,AAABBAAAAABABCBB,......S...
AAABAACABAAABAB,AAABAACABAAABABB,.........E
AAABAACABAAAAC,AAABAACABAAAACA,S.SS......
AAAAAAAAAABAAA,AAAAAAAAAABAAAA,....SE..SS
AAAACAABABABABA,AAAACAABABABABAC,E..ES...SE
AAAACAAAABBAB,AAAACAAAABBABA,..S......E
AAAACAAABABCCAB,AAAACAAABABCCABB,E..S.E..EE
AAAACAAAABACAB,AAAACAAAABACABA,...E.....S
AAAAAAAAACAAA,AAAAAAAAACAAAA,E.E...EE.E
AAAACAABACBBBAA,AAAACAABACBBBAAA,.....EE.E.
AAABBBACABBABAC,AAABBBACABBABACB,.E.......E
AAAAAABAABBABC,AAAAAABAABBABCB,.E...EE.E.
AAABBAAABCCABA,AAABBAAABCCABAA,SS.......E
AAABBBBAABBBAAB,AAABBBBAABBBAABA,..E..EEE.E
AAABBBBACA,AAABBBBACAA,.E..E..E.E
AAABBBACBBAACBA,AAABBBACBBAACBAB,E........S
AAABBBACBCABBAB,AAABBBACBCABBABB,....EE.S..
AAABBCABCABBABA,AAABBCABCABBABAA,......S...
AAABBBBABACABBC,AAABBBBABACABBCA,.EESSE.EEE
AAABBCABCABBAB,AAABBCABCABBABA,........S.
AAABAABAABBABAB,AAABAABAABBABABB,.E.......S
AAABAACBBAAAB,AAABAACBBAAABA,..E...E..E
AAAAAAAAACBBAC,AAAAAAAAACBBACB,.....E....
AAABBCBABAAAA,AAABBCBABAAAAA,.E.ES.E.E.
AAAAAAAAACBCBA,AAAAAAAAACBCBAB,..SEE.E.S.
AAAACAACAAABBBB,AAAACAACAAABBBBA,.E.E.SS...
AAABBBBACBBAAAB,AAABBBBACBBAAABA,..SES..EE.
AAABAABABAAACBA,AAABAABABAAACBAA,.E.......S
AAABAACABAABBAA,AAABAACABAABBAAB,E....E....
AAABBAAAAABACA,AAABBAAAAABACAC,..E...E.ES
AAAACAAABABCCA,AAAACAAABABCCAB,........SE
AAABBAAABAAACBC,AAABBAAABAAACBCA,.....S.E..
AAABAACAABBBBBA,AAABAACAABBBBBAA,.........E
AAABBBCABCAAACB,AAABBBCABCAAACBB,..EE.E....
AAABAABBBABBACA,AAABAABBBABBACAC,S......SS.
AAABBAAABABBAA,AAABBAAABABBAAA,...S...S..
AAAACAAAACCBABC,AAAACAAAACCBABCA,...S......
AAAACAACBABA,AAAACAACBABAA,..E....S.E
AAABAAAAAAABABC,AAABAAAAAAABABCC,.E.EES..SS
AAABBABA,AAABBABAA,.EES..S...
AAAAAAAACAAABAA,AAAAAAAACAAABAAB,E..EE.....
AAAAAAAAACCC,AAAAAAAAACCCB,.S.SE.S.E.
AAAACAACBACBAAB,AAAACAACBACBAABA,ES........
AAABBCABCABBA,AAABBCABCABBAC,E...E...E.
AAABBBACBCABBCB,AAABBBACBCABBCBC,..E...E.S.
AAABBAAABACBA,AAABBAAABACBAA,....E.S...
AAABBBABABA,AAABBBABABAC,..........
AAABBBBAAACBABA,AAABBBBAAACBABAA,...ESS...E
AAABBBAAAAAAAAA,AAABBBAAAAAAAAAB,.....S...S
AAAAAAAABCAAAB,AAAAAAAABCAAABB,E..S..ES..
AAABBBBAAACABAA,AAABBBBAAACABAAB,..S..EES..
AAABBABABBCAACA,AAABBABABBCAACAA,.E.....S..
AAABBABABCBBAAA,AAABBABABCBBAAAA,..E.E.....
AAAACAAAACABCBB,AAAACAAAACABCBBC,.....S..S.
AAABAACABAAABB,AAABAACABAAABBA,....E..EEE
AAABBBCBAABABAA,AAABBBCBAABABAAA,EEE..EE...
AAABAACBAACAAB,AAABAACBAACAABB,...E..E..E
AAABAAAAACAAAC,AAABAAAAACAAACA,...SE....S
AAAACAAAABBAC,AAAACAAAABBACC,.....S...E
AAABBBACBBCAA,AAABBBACBBCAAA,E.EE...S..
AAAAAABABBAAABB,AAAAAABABBAAABBB,.....EE...
AAABBBABABBCAA,AAABBBABABBCAAA,EES....S..
AAABBBCBAAC,AAABBBCBAACA,..S.SSES..
AAAABAABCABAAB,AAAABAABCABAABA,....SE..E.
AAABAABAABBACAC,AAABAABAABBACACA,.E.EEE.EE.
AAABBBCBABBA,AAABBBCBABBAB,E..E......
AAABBBACBC,AAABBBACBCC,.S...E.ESS
AAABAACBBAABAAC,AAABAACBBAABAACA,EE........
AAABBBCBABACAAA,AAABBBCBABACAAAC,.......ES.
AAABBBABAABCCB,AAABBBABAABCCBA,SE.E.E.SEE
AAAACAAABBBABBB,AAAACAAABBBABBBA,E.ESS..E..
AAABAAAAAAABAA,AAABAAAAAAABAAB,....E...E.
AAABAABAAAAABAA,AAABAABAAAAABAAA,..SS.....E
AAABAACBBABCBAC,AAABAACBBABCBACB,...E......
AAAABAABCBBBB,AAAABAABCBBBBA,EE...E..SS
AAABBAAABABAABC,AAABBAAABABAABCA,E..S.E..E.
AAABBBBAABBBAB,AAABBBBAABBBABA,..EE...S.E
AAABBBBAABBCBBA,AAABBBBAABBCBBAA,..E..SE.S.
AAABBAAABC,AAABBAAABCA,...E.E..E.
AAAAAABA,AAAAAABAB,.SSS..S...
AAAACAAACBB,AAAACAAACBBB,E.S.S...E.
AAAACAAAAACA,AAAACAAAAACAA,..EE.EEES.
AAABBBAC,AAABBBACC,.SS..E....
AAAACAACBACCABB,AAAACAACBACCABBB,.S..E.E...
AAABBBABAABAA,AAABBBABAABAAA,.....E..E.
AAAACAAABCACCAB,AAAACAAABCACCABC,E....S..S.
AAAACAAABBBCBB,AAAACAAABBBCBBB,.EE...E...
AAAACAAAACACBCB,AAAACAAAACACBCBB,.S...S....
AAAAAABABBAAA,AAAAAABABBAAAB,.ES.S...EE
AAAACAABAAAC,AAAACAABAAACC,..S.EE...E
